SlotNo   Position_x   Position_y   Position_z    X_x    X_y    X_z    Y_x    Y_y    Y_z    Z_x    Z_y    Z_z
     1 -34.75145920   2.90205146  84.43391080   0.67207558  -0.73691158   0.07263424   0.12057519   0.01212173  -0.99263019   0.73060023   0.67588040   0.09699997
     2 -109.25763953   7.10490128 -19.60366842   0.12126301  -0.03161411  -0.99211684  -0.97099142   0.20373407  -0.12517221   0.20608521   0.97851571  -0.00599163
     3   2.99255356  41.13528523  70.61717744   0.02807219  -0.85281055   0.52146535   0.10717673   0.52123222   0.84665821  -0.99384360   0.03212140   0.10603358
     4  64.83652720  -0.80971282 -68.32270571   0.83437614   0.33648558   0.43657063   0.40559453   0.16152065  -0.89966891  -0.37324079   0.92773294  -0.00170774
     5  44.32978393 -88.91160775 -85.65457781   0.08525676  -0.95406540   0.28721158  -0.35333843   0.24057654   0.90403257  -0.93160256  -0.17855777  -0.31659720
     6 -95.44456856  13.98789261  48.79247449   0.57774004  -0.12661562   0.80634046   0.78395457  -0.18894245  -0.59136790   0.22722835   0.97379120  -0.00989872
     7  66.87951878 -36.80969522  69.34418539  -0.86834678  -0.11185150   0.48318021   0.46629266   0.14774142   0.87220618  -0.16894330   0.98268082  -0.07613525
     8 -20.84004976  80.58077842  18.57885562  -0.02986965   0.27929906  -0.95973947  -0.16870896   0.94498357   0.28025584   0.98521322   0.17028779   0.01889393
     9 -41.00281377 -77.40696129 -76.84168919  -0.29686028  -0.94305390   0.15007773   0.25496256   0.07317853   0.96417789  -0.92025418   0.32449031   0.21871964
    10 -65.91216669 -47.10162120  68.47138938  -0.76189431  -0.41675931  -0.49581118  -0.42152056  -0.26216499   0.86809558  -0.49177125   0.87039169   0.02406940
    11  75.55640750 -74.53550112  69.63620633   0.20201897  -0.97036562  -0.13258546   0.48583840  -0.01825293   0.87385804  -0.85038187  -0.24095101   0.46775344
    12   8.73826065  82.86128629 -19.88733650  -0.02460962  -0.29847761  -0.95409930  -0.02975147  -0.95374710   0.29913428  -0.99925433   0.03574744   0.01459120
    13 -40.29512981  61.78287119  49.15579006   0.11720030  -0.56154861   0.81910149   0.20256118  -0.79392833  -0.57327722   0.97223090   0.23310643   0.02069931
    14 103.55942800  24.04572262 -19.69142558  -0.22422920  -0.07174584  -0.97189187  -0.91555450  -0.32617172   0.23531249  -0.33388633   0.94258390   0.00745000
    15 101.25659951 -51.88320631  45.18649811  -0.58149242  -0.00700203   0.81352168   0.77826237   0.28652147   0.55876035  -0.23700389   0.95804822  -0.16116065
    16  75.34829948 -74.42515078 -75.84068522   0.21708339  -0.97046224   0.10525129  -0.47929971  -0.01203881   0.87756872  -0.85038021  -0.24095250  -0.46775570
    17  39.08234046 -44.96220822 -81.79307478  -0.97885863  -0.18964128  -0.07662871  -0.04518134  -0.16489886   0.98527509  -0.19948481   0.96790722   0.15284443
    18  48.18156361  78.12993419 -20.07497559   0.11032525   0.28906672   0.95093048   0.33809142   0.88879898  -0.30940355  -0.93462431   0.35563646   0.00032599
    19 -100.74203370 -72.85076547 -19.84721466   0.17441446   0.12821798  -0.97628876  -0.78042474  -0.58658402  -0.21646343  -0.60042989   0.79967425  -0.00224425
    20  41.04344980  28.52820911  68.49016344  -0.58151115  -0.66956576   0.46208926   0.31766961   0.33602596   0.88666373  -0.74895366   0.66239656   0.01729785
    21 104.60162368  24.20706326  18.39048222  -0.22422963  -0.07174515   0.97189182   0.92795494   0.28892223   0.23542211  -0.29769155   0.95466043   0.00179134
    22 -95.57446640  13.89736103 -50.42462061   0.57774445  -0.12661509  -0.80633738  -0.78977282   0.16271019  -0.59142565   0.20608272   0.97851623  -0.00599225
    23 -40.37205812  63.86925162 -50.54946939   0.11060651  -0.53565159  -0.83716401  -0.17201870   0.81930144  -0.54695038   0.97886452   0.20450414  -0.00152202
    24   6.55920365  12.36189104 -84.77227962  -0.04075253  -0.98606201  -0.16131010   0.17588429   0.15184388  -0.97262950   0.98356695  -0.06800903   0.16724479
    25  48.64830738  79.21993314  18.90714923   0.11032578   0.28906464  -0.95093105  -0.33795150  -0.88885219  -0.30940358  -0.93467477   0.35550377  -0.00037348
    26 -92.46685059  44.71833691  18.41201930  -0.18436075   0.11117053  -0.97655119  -0.82436716   0.52354076   0.21522978   0.53519157   0.84471665  -0.00487503
    27 -40.37384320 -31.31631764  81.02855865  -0.90016921  -0.34356017  -0.26769721  -0.24026658  -0.12093888   0.96314368  -0.36327281   0.93131099   0.02631943
    28  82.32180250  58.58331629 -19.90396794  -0.17317461  -0.17986759  -0.96832753  -0.66238127  -0.70634192   0.24966407  -0.72887680   0.68463750   0.00317956
    29  82.97787597  58.69083099  18.68601700   0.17317433   0.17986732  -0.96832763  -0.68451653  -0.68491962  -0.24964422  -0.70812943   0.70606824   0.00451165
    30   6.45548154  12.62232099  81.69128522   0.03534068   0.97898012  -0.20087051   0.13416064   0.19453058   0.97167833   0.99032922  -0.06128869  -0.12446575
    31  86.92162330  19.01820416  48.69226993   0.64295742   0.25849988  -0.72096017  -0.70394571  -0.17143684  -0.68925311  -0.30177098   0.95067722   0.07174330
    32 -13.38033128  65.48721542  48.40167098  -0.01208951   0.65727587  -0.75355310   0.06879652  -0.75127711  -0.65639146  -0.99755746  -0.05977728  -0.03613572
    33 100.57184038 -51.85065085 -49.60634299  -0.58149296  -0.00700204  -0.81352130  -0.76946163  -0.31997753   0.55275960  -0.26417898   0.94739924   0.18067689
    34          NaN          NaN          NaN  -0.65919461   0.75197238   0.00000000          NaN          NaN          NaN          NaN          NaN          NaN
